 10:44:06 up  2:13,  1 user,  load average: 0.17, 0.27, 0.21
 10:44:07 up  2:13,  1 user,  load average: 0.17, 0.27, 0.21
 10:44:08 up  2:13,  1 user,  load average: 0.17, 0.27, 0.21
 10:44:09 up  2:13,  1 user,  load average: 0.17, 0.27, 0.21
 10:44:10 up  2:13,  1 user,  load average: 0.23, 0.28, 0.21
 10:44:11 up  2:13,  1 user,  load average: 0.23, 0.28, 0.21
 10:44:12 up  2:13,  1 user,  load average: 0.23, 0.28, 0.21
 10:44:13 up  2:13,  1 user,  load average: 0.23, 0.28, 0.21
 10:44:14 up  2:13,  1 user,  load average: 0.23, 0.28, 0.21
 10:44:15 up  2:13,  1 user,  load average: 0.21, 0.28, 0.21
 10:44:16 up  2:13,  1 user,  load average: 0.21, 0.28, 0.21
 10:44:17 up  2:13,  1 user,  load average: 0.21, 0.28, 0.21
 10:44:18 up  2:13,  1 user,  load average: 0.21, 0.28, 0.21
 10:44:19 up  2:13,  1 user,  load average: 0.21, 0.28, 0.21
 10:44:20 up  2:13,  1 user,  load average: 0.28, 0.29, 0.21
 10:44:21 up  2:13,  1 user,  load average: 0.28, 0.29, 0.21
 10:44:22 up  2:13,  1 user,  load average: 0.28, 0.29, 0.21
 10:44:23 up  2:13,  1 user,  load average: 0.28, 0.29, 0.21
 10:44:24 up  2:13,  1 user,  load average: 0.28, 0.29, 0.21
 10:44:25 up  2:13,  1 user,  load average: 0.26, 0.28, 0.21
 10:44:26 up  2:13,  1 user,  load average: 0.26, 0.28, 0.21
 10:44:27 up  2:13,  1 user,  load average: 0.26, 0.28, 0.21
 10:44:28 up  2:13,  1 user,  load average: 0.26, 0.28, 0.21
 10:44:29 up  2:13,  1 user,  load average: 0.26, 0.28, 0.21
 10:44:30 up  2:13,  1 user,  load average: 0.23, 0.28, 0.21
 10:44:31 up  2:13,  1 user,  load average: 0.23, 0.28, 0.21
 10:44:32 up  2:13,  1 user,  load average: 0.23, 0.28, 0.21
